Iteration,Fitness,Chromosomes
0,99999999,[]
550,171097.98,[-436.28, -11.78, -4.98, -4.12, 1.01, 0.87, 4.62, 16.37, -4.14, 7.15, 1.19, 9.68, 3.58, -13.72, 4.45, 11.69, 9.52, 4.81, 12.1, 11.44, -8.31, 2.93, -4.53, 8.1, -2.12, 0.4, 0.79, -4.14, 6.63, 4.72, 8.01, -5.94, 2.53, 9.97, 1.42, 12.12, -0.54, -2.35, 7.14, -1.02, -6.46, -1.51, -3.33, -1.63, 3.25, 5.91, 4.78, -5.62, -5.32, 0.59, -9.91, -2.5, -5.79, -0.7, -9.97, 2.28, -0.09, -6.02, 0.3, -1.58, 3.02, 0.58, -11.24, -8.15, -2.25, 2.93, -4.94, 11.45, 2.87, 2.34, 3.76, -1.46, 5.41, -4.73, 0.37, -1.49, 3.85, -0.93, -1.27, -2.32, -6.14, 1.58, -6.02, 2.98, 2.05, 0.15, -5.33, 1.29, 5.2, 1.98, -0.11, 3.34, 4.55, -2.55, -0.38, -6.48, -0.99, -1.29, -1.06, -0.21]
600,146095.62,[-159.49, -6.91, -4.98, -4.12, 1.01, 0.87, 4.62, 9.82, -4.14, 7.15, 1.19, 9.68, 12.11, -5.7, 4.45, 3.8, -0.46, 4.81, 7.28, 11.44, -8.31, 2.93, -4.53, 8.1, -2.12, 0.4, 0.79, -4.14, 6.63, 4.72, 8.01, -5.94, 2.53, 9.97, 1.42, -0.42, -0.54, -2.35, 7.14, -1.02, -6.46, -1.51, -3.33, -1.63, 3.25, 5.91, 4.78, -5.62, -5.32, 0.59, -9.91, -2.5, -5.79, -0.7, -9.97, -0.17, -0.09, -6.02, 0.3, -1.58, 3.02, 0.58, -11.24, 4.45, -2.25, 2.93, -4.94, 11.45, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.49, 3.85, -0.93, -1.27, -2.48, -6.14, 1.58, -6.02, 2.98, 2.05, 0.15, 1.69, 1.29, 5.2, 1.98, -0.11, 3.34, 4.55, -0.01, -0.38, 0.08, -0.99, -1.29, -1.06, -1.85]
650,131086.53,[354.9, -6.91, -4.98, -4.12, 1.01, 0.87, 4.62, 9.82, -4.14, 7.15, 1.19, 9.68, 12.11, -5.7, 4.45, 0.43, -0.46, 4.81, 0.32, 10.94, -8.31, 2.93, 0.61, 8.1, -2.12, 0.4, 0.79, 0.81, 6.63, 4.72, 8.01, -5.94, 2.53, -4.6, 1.42, -0.42, -0.54, -2.69, 7.14, -1.02, -3.72, -1.51, -3.33, -1.63, 3.25, 5.91, 4.78, -5.62, -5.32, 0.59, -9.91, -2.5, -5.79, -0.48, -9.97, -0.17, -0.09, -6.02, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -4.94, -10.47, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.49, 2.1, -0.93, -1.27, -2.48, -6.14, 1.58, -1.03, 2.98, 2.05, 0.15, 1.69, 1.29, 5.2, 1.98, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, -0.99, -1.29, -1.06, -1.85]
700,116681.68,[-75.47, -6.91, -4.98, -4.12, 1.01, 0.87, 4.62, 9.82, -4.14, 7.15, 1.19, 1.03, -8.05, -5.7, 4.45, 3.8, -0.46, 4.81, 0.32, -2.6, -8.31, 2.93, 0.61, 8.1, -2.12, 0.4, 0.79, 0.81, 6.63, 4.72, 8.01, -5.94, 2.53, -4.6, 1.42, -0.42, -0.54, -2.69, 7.14, -1.96, -3.72, -1.51, -3.33, -1.63, 3.25, 5.91, 3.27, -5.62, -0.4, 0.59, -6.13, -2.5, -5.79, -0.48, -9.97, 2.36, -0.09, -2.33, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -3.97, -10.47, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.72, 2.1, -0.93, -1.27, -2.48, -6.14, 1.58, -0.78, 2.98, 2.05, 0.15, 1.69, 1.29, 1.35, 1.98, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, -0.99, -1.29, -1.06, -1.85]
750,96235.22,[117.28, -11.78, -1.76, -4.12, 1.01, 0.87, -0.12, 9.82, -4.14, 7.15, 1.19, 1.03, -8.05, -5.7, 4.45, 3.8, -0.46, 4.81, 0.32, -2.6, -5.94, 2.93, 0.61, -2.47, -2.12, 0.4, 0.79, 0.81, 6.63, 4.72, 8.01, 0.39, 2.53, 2.02, 1.42, -0.42, -0.54, -2.69, 7.14, -1.96, -2.21, -1.51, -3.33, -1.63, 3.25, 3.68, 3.27, -5.62, -0.4, 0.59, -6.13, -2.5, -0.36, -0.48, 9.32, 2.36, -0.09, -2.33, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -3.97, -0.13, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.72, 2.1, -0.93, -1.27, -2.48, -2.08, 1.58, -0.78, 2.98, 2.05, -4.21, 1.69, 1.29, 1.35, 1.98, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, -0.99, -1.29, -1.06, -1.85]
800,89031.33,[311.98, -6.91, -4.98, -4.12, 1.01, 0.87, 4.62, -6.8, -4.14, 3.72, 1.19, 1.03, -8.05, -5.7, 4.45, 3.8, -0.46, 4.81, 0.32, -2.6, -5.94, 2.93, 0.61, -2.47, -2.12, 0.4, 0.79, 0.81, 6.63, 4.72, 0.29, 0.39, 2.53, 2.02, 1.42, -0.42, -0.54, -2.69, 5.57, -1.96, -2.21, -1.51, -3.33, -1.63, 3.25, 3.28, 3.27, -5.62, -0.4, 0.59, -6.13, -2.5, -0.36, -0.48, -6.14, 2.36, -0.09, -2.33, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -3.97, -0.13, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.72, -0.63, -0.93, -1.27, -2.48, -2.08, 1.58, -0.78, 2.98, 2.05, -4.21, 1.69, 1.29, 1.35, 1.98, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, -0.99, -1.29, -1.06, -1.85]
850,86761.16,[216.02, -6.91, -4.98, -4.12, 1.01, 0.85, -0.12, -6.8, -4.14, 3.72, 1.19, 1.03, -8.05, -5.7, 3.41, -2.36, -0.46, -1.85, 0.32, -2.6, -5.94, 2.93, 0.61, -2.47, -2.12, 0.4, 0.79, 0.81, 6.63, 4.72, -0.91, 0.39, 2.53, 2.02, 1.42, -0.42, -0.27, -2.69, 0.54, -1.96, -2.21, -1.51, -3.33, -1.63, 3.25, 3.28, 3.27, -5.62, -0.4, 0.59, -6.13, -2.5, -0.36, -0.48, -6.14, 2.36, -0.09, -2.33, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -3.97, -0.13, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.72, -0.63, -0.93, -1.27, -2.48, -2.08, 1.58, -0.78, 2.98, 2.05, -4.21, 1.69, 1.29, 1.35, 1.48, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, -0.99, -1.29, -1.06, -1.85]
900,81732.56,[-358.09, 2.21, -4.98, -4.12, 1.01, 0.85, -0.12, -6.8, -4.14, 3.72, 1.19, 1.03, 1.92, -5.7, 3.41, -2.36, -0.46, -1.85, 0.32, -2.6, -5.94, 2.93, 0.61, -2.47, -2.12, 0.4, 0.79, 0.81, 3.39, 4.72, -0.91, 0.39, 2.53, 2.02, 1.42, -0.42, -0.27, -2.69, 0.54, -1.96, -2.21, -1.51, 0.74, -1.63, 3.25, 3.28, -3.79, 1.73, -0.4, 0.59, -6.13, -2.5, -0.36, -0.48, -6.14, 2.36, -0.09, -2.33, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -3.97, 0.01, 2.87, 3.7, 3.76, -1.46, 5.41, -4.73, 0.37, -1.72, -0.63, -0.93, -1.27, -2.48, -2.08, 1.58, -0.78, 2.98, 2.05, -4.21, 1.69, 1.29, 1.35, 1.48, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, 0.08, -1.29, -1.06, -1.85]
950,74952.97,[-2.55, -4.15, -4.98, -4.12, 1.01, -3.38, -0.12, -6.8, -4.14, 3.72, 1.19, 1.03, 1.92, -0.72, 3.41, -2.36, -0.46, -1.85, 0.32, -2.6, -0.12, 2.93, 0.61, -2.47, -2.12, 0.4, 0.79, 0.81, 3.39, 4.72, -0.91, 0.39, 2.53, 2.02, 1.42, -0.42, -0.27, -2.69, 0.54, -1.96, -2.21, -1.51, 0.74, -1.63, 3.25, 3.28, -3.79, 1.73, -0.4, 0.59, -6.13, -2.5, -0.36, -0.6, 3.42, 2.36, -0.09, -2.33, 0.3, -1.58, 3.02, 0.58, -7.84, 4.45, -2.25, 2.93, -3.97, 0.01, 2.87, 3.7, 3.76, -1.46, -0.41, -4.73, 0.37, -1.72, -0.63, -0.93, -1.27, -2.48, -2.08, 1.58, -0.78, 0.94, 2.05, -4.21, 1.69, 1.29, 1.35, 1.48, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, 0.08, -1.29, -1.06, -1.85]
1000,66680.86,[8.1, -6.91, -4.98, -4.12, 1.01, -3.38, -0.12, -6.8, -4.14, 3.72, 1.19, 1.03, 1.92, -0.72, 3.41, -2.36, -0.46, -1.85, 0.32, -2.6, -0.12, 2.93, 0.61, -3.41, -2.12, 0.4, 0.79, -3.0, 3.39, 4.72, -0.91, 0.39, 2.53, 3.25, 1.42, -0.42, -0.27, -2.69, 0.54, -1.96, -2.21, -1.51, 0.74, -1.63, 3.25, 3.28, -3.79, 1.73, -0.4, 0.59, -6.13, -2.5, -0.36, -0.6, 3.42, 2.36, -0.09, 1.65, 0.3, -1.58, 3.02, 0.58, -0.65, -0.16, -2.25, 2.93, -3.97, 0.01, 2.87, 3.7, 3.76, -1.46, -0.41, -4.73, 0.37, -1.72, -0.63, -0.93, -1.27, -2.48, -2.08, 1.58, -0.78, 0.94, -0.63, -4.21, 1.69, 1.29, 1.35, 1.48, -0.11, 3.34, -2.46, -0.01, -0.38, 0.08, 0.08, -1.29, -1.06, -1.85]
